"","evacuation","age","consult_info","evac_orders","expected_hh_impacts","gender","signif_evac_orders","education","multiple_concerns","risk_area","social_cues","unnecessary_evac_exp"
"400","yes",69,3,"mandatory",5,"male",5,12,5,"yes",5,NA
"401","yes",48,2.83,"mandatory",2.5,"female",4,18,2.2,"yes",3.5,1
"402","yes",80,4,"mandatory",NA,"male",NA,16,NA,"yes",NA,NA
"403","no",54,4.33,"mandatory",3.5,"male",4,18,4.6,"yes",4,5
"404","no",70,3.33,"mandatory",2.25,"female",2,16,1.8,"yes",1,3
"405","yes",46,4,"mandatory",2.25,"female",5,NA,2.4,"yes",3.5,5
"406","no",75,1.67,"mandatory",2.75,"female",3,21,3,"yes",1,5
"407","not applicable",46,NA,"mandatory",NA,"female",NA,12,NA,"yes",NA,NA
"408","yes",58,4.33,"mandatory",3.75,"female",4,16,3,"yes",2.5,3
"409","yes",79,5,"mandatory",1.5,"male",4,21,1.6,"yes",4,1
"410","yes",61,3,"mandatory",2.5,"male",5,18,2.6,"yes",3,1
"411","yes",29,3,"mandatory",4.75,"male",4,16,4,"no",3.5,4
"412","yes",88,4.25,"mandatory",1,"female",5,10,5,"yes",2,1
"413","no",60,2.17,"mandatory",2.5,"male",3,16,3.6,"no",3,1
"414","yes",63,2.33,"mandatory",2,"female",5,16,3.8,"yes",3,5
"415","no",43,3.67,"mandatory",2,"female",1,18,1,"yes",1,1
"416","yes",45,1.67,"mandatory",5,"female",3,16,3.4,"yes",3,3
"417","yes",69,2.67,"mandatory",2,"male",2,16,2.8,"yes",2,1
"418","no",48,3,"mandatory",2.25,"female",5,18,2.6,"no",4.5,3
"419","yes",70,2.5,"mandatory",2,"male",5,12,1,"yes",5,1
"420","yes",48,5,"mandatory",4,"female",5,16,3.2,"yes",5,3
"421","no",77,4.2,"mandatory",3.25,"female",5,18,4.6,"yes",5,5
"422","yes",56,2.33,"mandatory",4,"male",5,18,4.6,"yes",4,3
"423","no",69,2,"mandatory",1,"female",1,16,3.8,"yes",1,5
"424","yes",45,2.17,"mandatory",2.75,"female",5,16,5,"yes",3.5,5
"425","yes",49,3,"mandatory",1.75,"female",3,18,3,"yes",3,3
"426","no",72,2.17,"mandatory",1.5,"male",3,12,3.2,"yes",2,5
"427","yes",57,2.2,"mandatory",1.5,"male",2,18,2.4,"yes",1.5,3
"428","yes",42,4,"mandatory",4,"female",5,12,4,"yes",3.5,1
"429","yes",66,2.6,"mandatory",2,"female",5,12,1.8,"yes",3,1
"430","not applicable",42,1,"mandatory",1,"female",1,18,1,"yes",1,1
"431","yes",67,2.33,"mandatory",1.5,"female",1,18,1.8,"yes",2.5,1
"432","yes",65,1.83,"mandatory",3,"female",4,12,4,"yes",1.5,1
"433","yes",67,3.83,"mandatory",2.75,"female",5,21,2.8,"yes",5,5
"434","no",68,3,"mandatory",5,"female",5,16,4.6,"yes",2,5
"435","no",65,1.5,"voluntary",1.25,"male",2,16,1,"no",2,1
"436","no",52,2.83,"voluntary",2.25,"female",3,21,3.4,"no",1.5,1
"437","no",37,4.4,"voluntary",1.25,"male",3,10,2.4,"no",2,2
"438","yes",63,2.83,"voluntary",3,"male",4,16,3,"no",1,1
"439","no",48,3.17,"voluntary",1,"female",2,18,3,"no",1,5
"440","no",36,2.5,"voluntary",1,"female",3,16,4.2,"no",2.5,5
"441","yes",60,1.33,"voluntary",1,"female",5,16,2.2,"no",4,4
"442","no",48,3.17,"voluntary",1.25,"male",1,21,5,"no",1,5
"443","no",60,3,"voluntary",2,"male",1,10,4.2,"no",1,1
"444","no",83,3.33,"voluntary",1.5,"male",1,18,1,"no",1,1
"445","yes",NA,1.67,"voluntary",2,"female",NA,12,2.6,"no",2.5,NA
"446","no",67,2.67,"voluntary",1,"female",2,18,4.6,"yes",4,4
"447","no",64,1.83,"voluntary",2.5,"female",5,18,3,"no",4,2
"448","yes",66,2.67,"voluntary",2.75,"female",5,16,3,"no",4,4
"449","yes",39,1.83,"voluntary",2.75,"female",5,18,2.8,"no",3,2
"450","no",74,5,"voluntary",1.5,"female",NA,18,NA,"no",NA,5
"451","yes",29,3.33,"voluntary",3,"male",5,18,3.6,"no",3,3
"452","no",68,5,"voluntary",1,"female",2,21,1.6,"no",2.5,1
"453","no",65,2.5,"voluntary",2.25,"female",4,16,4.4,"no",3,2
"454","no",89,1.5,"voluntary",1,NA,1,21,1.8,"no",1,1
"455","no",65,3.67,"voluntary",1.5,"female",5,18,3.2,"no",4,5
"456","yes",NA,3.33,"voluntary",2.25,NA,3,NA,1.8,"no",3.5,4
"457","yes",37,1.67,"voluntary",4,"female",5,12,5,"no",5,5
"458","yes",59,2,"voluntary",2,"male",5,12,2.6,"no",1,1
"459","no",43,5,"voluntary",1.75,"female",5,16,5,"yes",5,5
"460","not applicable",60,3.17,"voluntary",1.5,"female",1,16,2.8,"no",2,1
"461","yes",56,2.67,"voluntary",2,"female",3,18,1.6,"no",2.5,3
"462","no",56,2.83,"voluntary",2.75,"female",5,18,4.8,"no",3,5
"463","no",86,5,"voluntary",NA,"female",NA,12,NA,"no",NA,NA
"464","yes",33,3.17,"voluntary",3,"male",3,16,1.4,"no",1,1
"465","no",52,2.67,"voluntary",1.25,"male",3,16,3.6,"no",1,1
"466","no",58,2.33,"voluntary",1.25,"male",1,12,3.6,"no",1,1
"467",NA,NA,NA,"voluntary",NA,NA,NA,NA,NA,"no",NA,NA
"468","yes",44,2.67,"voluntary",3.75,"female",5,18,4.2,"no",5,5
"469","no",69,3.33,"voluntary",2.75,"male",5,16,5,"no",4,NA
"470","no",56,2,"voluntary",1.5,"male",5,21,2,"no",1.5,1
"471","yes",57,4.33,"voluntary",4.5,"female",5,21,4.2,"no",5,5
"472","yes",85,1.5,"voluntary",2,"female",5,21,1,"no",1,1
"473","yes",40,2.33,"voluntary",1.75,"male",5,16,2,"no",2.5,2
"474","no",69,4.5,"voluntary",2,"male",2,16,3.4,"no",1,3
"475","yes",42,2.5,"voluntary",2.25,"female",5,21,2.4,"no",2,1
"476","no",74,3,"voluntary",NA,"female",1,21,1.8,"no",NA,4
"477","no",75,1.67,"voluntary",1,"female",3,12,2,"no",4,1
"478","no",86,NA,"voluntary",NA,NA,NA,NA,NA,"no",NA,NA
"479","yes",74,1.5,"voluntary",1.25,"female",3,18,2,"no",1,1
"480","no",64,1.17,"voluntary",1.25,"male",1,18,1,"no",1,1
"481","no",35,3.33,"voluntary",2,"male",1,16,4,"no",1,2
"482","yes",69,1.4,"voluntary",2.75,"male",5,12,4.6,"yes",5,2
"483","no",69,2,"voluntary",2.25,"female",1,16,4.6,"no",1,4
"484","no",32,3.67,"voluntary",1.25,"female",4,12,4.6,"no",2,5
"485","yes",47,2.67,"voluntary",1,"female",5,18,1,"no",1,1
"486","no",69,2.33,"voluntary",1.75,"female",4,21,3.6,"no",4,4
"487","no",68,2.4,"voluntary",2,"female",3,21,2.8,"no",1.5,4
"488","yes",59,3.5,"voluntary",2.5,"female",5,21,5,"no",5,3
"489","yes",58,1.17,"mandatory",3,"male",5,16,1.4,"yes",1,NA
"490","yes",69,3.83,"mandatory",2.75,"female",5,16,4.5,"yes",4,1
"491","yes",69,2.33,"mandatory",2,"male",4,18,2.8,"yes",1.5,2
"492","yes",82,1.83,"voluntary",1,"female",2,18,1.8,"yes",1.5,3
"493","yes",41,3.33,"mandatory",2,"female",3,16,2.4,"yes",2.5,2
"494","yes",65,3.33,"mandatory",3,"male",4,18,2.8,"yes",2.5,4
"495","not applicable",65,2,"mandatory",3.25,"male",NA,21,NA,"yes",NA,NA
"496","yes",60,1.6,"mandatory",3.75,"male",5,10,4.2,"yes",4.5,3
"497","no",42,4,"mandatory",4.25,"female",3,12,3.2,"yes",4,1
"498","yes",56,2,"voluntary",1,"female",5,16,1,"yes",1,1
"499","yes",73,2.5,"mandatory",2,"male",5,21,1.8,"yes",1.5,1
"500","no",71,4,"mandatory",3.25,"male",NA,NA,4.4,"yes",NA,NA
"501","yes",69,2.17,"mandatory",2.25,"female",4,21,1,"yes",1,1
"502","yes",86,2.33,"mandatory",1.5,"male",5,12,3.4,"yes",4,5
"503","yes",67,3,"mandatory",1.75,"female",NA,10,2.2,"yes",3,1
"504","yes",81,2.17,"mandatory",3.25,"male",5,16,3.4,"yes",2.5,3
"505","no",58,5,"mandatory",2.25,"female",4,21,2.8,"yes",5,1
"506","yes",52,1.8,"mandatory",2.5,"female",5,16,2.6,"yes",4,4
"507","yes",78,1.83,"mandatory",3.25,"male",5,16,3.6,"yes",5,2
"508","yes",44,3.83,"mandatory",1.5,"female",5,18,4.6,"yes",3,2
"509","yes",75,3.5,"mandatory",4.75,"female",5,12,5,"yes",5,5
"510","yes",70,3.25,"voluntary",3,"male",5,18,3.6,"yes",5,4
"511","yes",75,5,"mandatory",2.33,"female",NA,12,5,"yes",NA,NA
"512","yes",78,2.67,"mandatory",3,"female",5,21,1.8,"yes",3,1
"513","no",70,2.5,"mandatory",1.75,"male",2,18,4,"yes",1.5,3
"514","yes",48,4,"mandatory",2,"female",4,21,1.4,"yes",4,2
"515","yes",79,1.8,"mandatory",2.5,"female",5,12,4.4,"yes",2.5,1
"516","yes",40,2.33,"mandatory",1,"female",2,18,1.4,"yes",1,1
"517","yes",62,1.5,"mandatory",3,"female",5,21,3,"yes",3,3
"518","yes",64,4.17,"mandatory",5,"male",5,16,4.4,"yes",5,1
"519","no",51,3.17,"mandatory",1,"female",2,18,3,"yes",1.5,5
"520","yes",65,2,"mandatory",1,"male",2,21,3.2,"yes",2,5
"521","yes",60,4.8,"mandatory",1.75,"female",4,16,3.4,"yes",3,5
"522","no",59,2.17,"mandatory",1.75,"female",3,16,2.6,"yes",1.5,5
"523","not applicable",NA,NA,"mandatory",NA,NA,NA,NA,NA,"yes",NA,NA
"524","yes",81,2.5,"mandatory",2.25,"male",3,18,2,"yes",1,2
"525","no",93,3.33,"mandatory",2.5,"female",4,16,3.8,"yes",1.5,5
"526","yes",70,2.5,"mandatory",2,"male",3,16,1.6,"yes",1.5,1
"527","no",82,NA,"mandatory",NA,"female",5,21,4.8,"yes",1,5
"528","yes",80,2.83,"mandatory",4,"female",5,21,1.4,"yes",1,3
"529","no",66,2.67,"mandatory",1.5,"female",4,18,4,"yes",3,5
"530","yes",74,2.5,"mandatory",3,"male",5,12,1,"yes",2.5,1
"531","yes",62,2.67,"mandatory",3,"male",3,18,5,"yes",1,3
"532","yes",55,4.17,"mandatory",3,"female",5,18,4.4,"yes",3.5,3
"533","no",NA,NA,"mandatory",NA,NA,NA,NA,NA,"yes",NA,NA
"534","yes",52,2,"mandatory",2,"female",4,21,2.4,"yes",2.5,4
"535","yes",66,5,"mandatory",2.5,"female",5,18,5,"yes",5,5
"536","yes",84,3.17,"mandatory",2.75,"male",5,12,2.8,"yes",2.5,1
"537","yes",23,2.5,"mandatory",1.5,"male",4,18,1.2,"yes",2.5,1
"538","yes",85,3.67,"voluntary",1.5,"female",1,21,1.4,"yes",1,1
"539","yes",58,1.83,"mandatory",2,"male",5,21,3,"yes",4,3
"540","yes",66,2.5,"mandatory",2.25,"female",5,21,3,"yes",3.5,3
"541","yes",75,4,"mandatory",2,"male",5,21,1,"yes",1,1
"542","yes",60,3.67,"mandatory",4.25,"female",5,12,4.4,"yes",3,5
"543","yes",66,2.67,"mandatory",3,NA,3,12,4,"yes",3,5
"544","yes",64,1.83,"mandatory",3.25,"female",5,16,3.2,"yes",5,4
"545","yes",63,5,"mandatory",4,"female",5,16,4,"yes",3,4
"546","yes",62,2.83,"mandatory",1.75,"male",4,21,3.6,"yes",1,1
"547","yes",77,3,"mandatory",2.75,"male",1,16,3.5,"yes",1,2
"548","yes",64,2.8,"voluntary",3.5,"female",5,18,2.6,"yes",3.5,4
"549","yes",70,1.5,"mandatory",3.5,"male",5,NA,2.8,"yes",2,2
"550","yes",72,2.17,"mandatory",2.5,"male",4,16,2.2,"yes",3.5,1
"551","no",58,5,"mandatory",2.75,"female",4,16,5,"yes",3,1
"552","yes",52,2.67,"mandatory",1.75,"female",5,18,2.2,"yes",5,2
"553","yes",65,3.33,"mandatory",1.5,"female",5,18,2.6,"yes",5,1
"554","yes",80,1.33,"mandatory",1.25,"male",3,18,2.4,"yes",3,4
"555","yes",68,2.83,"mandatory",3.75,"female",2,12,3.6,"yes",2,1
"556","yes",67,5,"mandatory",3,"female",5,18,4.2,"yes",5,1
"557","yes",67,3.33,"mandatory",2.5,"female",5,16,3.8,"yes",5,5
"558","yes",61,4.5,"mandatory",4,"female",5,16,5,"yes",3.5,4
"559","yes",73,3,"mandatory",2.5,"male",5,16,2.6,"yes",1,1
"560","no",60,5,"voluntary",3,"female",4,16,2.6,"yes",3,4
"561","yes",76,4,"voluntary",NA,"female",NA,18,NA,"yes",NA,NA
"562","no",64,2,"mandatory",2,"male",3,18,2,"yes",1,5
"563","yes",37,1.67,"mandatory",3.5,"male",5,16,1.4,"yes",2,1
"564","yes",78,1.6,"mandatory",2,"male",5,16,2.2,"yes",4,3
"565","yes",31,2.5,"mandatory",3,"male",5,18,1,"yes",1,1
"566","yes",50,4,"mandatory",4,"male",1,12,5,"yes",3,1
"567","yes",52,2.67,"mandatory",1.5,"female",5,18,2.4,"yes",4,3
"568","no",61,1,"mandatory",1,"male",1,18,1,"yes",1,1
"569","yes",56,2.5,"mandatory",4,"female",5,16,3.8,"yes",1.5,5
"570","yes",42,3,"mandatory",2.75,"male",4,12,4.6,"yes",5,4
"571","yes",57,2,"mandatory",1,"female",4,16,3,"yes",3,3
"572","yes",72,2,"mandatory",1,"male",3,16,2.25,"yes",1.5,5
"573","yes",56,3.5,"mandatory",3,"female",5,16,2.2,"yes",4,3
"574","no",62,3.33,"mandatory",2,"female",2,16,3.6,"yes",1,1
"575","no",88,2.83,"mandatory",2.25,"male",2,12,1.6,"yes",2,2
"576","yes",65,3.5,"mandatory",2.5,"female",3,12,1.6,"yes",1,3
"577","yes",60,2.4,"mandatory",3,"male",4,21,2.4,"yes",2,4
"578","yes",54,2.17,"mandatory",3.5,"female",5,18,3,"yes",1,4
"579","yes",60,3.67,"mandatory",2.75,"male",5,12,2,"yes",1,2
"580","yes",79,3,"mandatory",1.67,"female",5,12,1.8,"yes",4,3
"581","no",54,2.17,"mandatory",2.5,"female",5,16,4.2,"yes",5,5
"582","yes",64,1.83,"mandatory",2.5,"female",5,21,1.8,"yes",4,1
"583","yes",49,3.83,"mandatory",1.5,"female",3,18,3.5,"yes",3,3
"584","yes",86,2.17,"mandatory",1.25,"male",3,18,3.6,"yes",3,4
"585","yes",60,1.17,"mandatory",1.5,"male",5,12,1.8,"yes",2,1
"586","no",71,5,"mandatory",1,"male",1,18,1.8,"yes",1,1
"587","yes",69,2.67,"mandatory",2,"male",5,21,3.6,"yes",2,2
"588","yes",50,2,"mandatory",2,"female",2,21,1.8,"yes",1,5
"589","yes",54,2.33,"mandatory",3.5,"female",4,NA,1,"yes",1,1
"590","yes",65,3.75,"mandatory",2.5,"female",5,12,3.8,"yes",5,1
"591","yes",48,3.5,"mandatory",3,"female",5,16,3.8,"yes",5,3
"592","yes",72,2.17,"mandatory",1,"male",1,18,2,"yes",1,1
"593","no",77,3.17,"mandatory",1,"male",1,21,3.2,"yes",1,1
"594","yes",71,3.67,"mandatory",1,"female",3,18,3.8,"yes",2,3
